High school graduate or higher,Bachelor's degree or higher,With a disability
2861955.0,845772.0,781503.0
446210.0,142019.0,86874.0
4123895.0,1394526.0,903268.0
1741471.0,463236.0,510910.0
22052868.0,8980726.0,4101034.0
3509828.0,1565134.0,584424.0
2250432.0,975465.0,393932.0
602504.0,214138.0,119310.0
13198162.0,4471701.0,2768155.0
6002781.0,2157616.0,1261925.0
913284.0,327466.0,153915.0
1012627.0,307537.0,229669.0
7749257.0,3010025.0,1388097.0
3935103.0,1172156.0,897234.0
1927271.0,597831.0,361691.0
1730153.0,635070.0,371131.0
2604309.0,731082.0,762404.0
2663447.0,753585.0,695791.0
902132.0,309888.0,210930.0
3733545.0,1662724.0,652374.0
4339739.0,2089065.0,784593.0
6187290.0,1985170.0,1401370.0
3508509.0,1359167.0,597169.0
1669565.0,435153.0,478427.0
3731783.0,1212562.0,872438.0
676645.0,231669.0,141245.0
1143491.0,399225.0,218839.0
1772563.0,505691.0,369238.0
894131.0,355737.0,170461.0
5520448.0,2440951.0,906929.0
1201121.0,383519.0,315698.0
11835343.0,4985807.0,2226016.0
6130463.0,2182853.0,1352783.0
458674.0,148757.0,81266.0
7208399.0,2255326.0,1605634.0
2281635.0,661509.0,618197.0
2629700.0,975920.0,587093.0
8105322.0,2814285.0,1759043.0
654733.0,252118.0,139446.0
3016480.0,969279.0,715960.0
525152.0,165080.0,102221.0
4012265.0,1254145.0,1015603.0
15173595.0,5420676.0,3187623.0
1683252.0,620505.0,294637.0
408184.0,167483.0,89692.0
5181538.0,2240360.0,968651.0
4659175.0,1837612.0,924708.0
1118803.0,265398.0,349430.0
3647489.0,1191329.0,671635.0
363828.0,106855.0,74788.0
